Ticker       IV    IVChg    IV:HV           Rank     Pctl           HV20     HV30     HV90          Close   ChgPct     Date
SABR     67.4   -11.31     0.44          28.59       44         153.53   129.92   106.76           1.89    -2.33    08-08
DUOL    52.29    -3.54     0.81          21.57       44           64.6    55.32    64.18         370.34    -5.25    08-08
VG    84.73    -9.47     1.78          43.58       44          47.63    56.45    84.75          12.35    -9.66    08-08
FIS    22.77      0.3     0.61           20.3       44          37.06    31.95    34.13          71.16     1.56    08-08
OXY     30.3    -0.52     1.01             19       44          30.12    31.52    48.01          44.32     1.67    08-08
BEKE    50.93      2.5     2.35          17.46       44          21.68    33.04    38.38          17.56    -0.23    08-08
AAPL    25.53     0.49     0.92          19.42       44          27.77    24.84    43.19         229.35     4.24    08-08
PDD    43.06    -1.42     1.54          27.63       44          27.97    24.67    45.08         114.26     0.06    08-08
MA    19.14    -1.73     1.27          14.38       43          15.03    16.46    28.65         574.32     2.33    08-08
UPS    25.08    -0.59     0.56          13.45       43          44.42    40.25    38.06          86.67     0.21    08-08
AEM    33.54     0.18     1.04          18.94       43           32.2    36.83    41.62         135.61    -0.13    08-08
COP    27.23    -0.87     1.21          13.05       43           22.5    24.32    43.51          93.91     1.41    08-08
UAA    49.56   -12.76     0.65          33.11       43          76.02     65.5    70.37           5.44   -18.07    08-08
FUTU    58.55     3.97     1.05          27.73       42          55.54    55.36    66.12         160.92     2.77    08-08
HRTX   101.49   -31.04     0.87          23.03       42         116.84   100.09    83.99           1.32   -28.26    08-08
NKE    29.71      0.6     1.19           21.7       42          25.04    49.34    53.06          74.19    -0.22    08-08
EOG    25.86    -3.66      1.3          16.84       42          19.86    22.89    36.79         116.28     0.27    08-08
AMAT    39.07    -2.05     1.35          24.08       42          28.91    27.06       48         184.87     0.94    08-08
TWLO    40.62    -30.2     0.44          21.55       42          91.52    78.56    62.38          98.67   -19.38    08-08
KGC    41.28     0.83     1.03           12.2       42          40.07    45.06    45.83          18.98     1.12    08-08
MRK    26.49    -0.11     0.93          25.53       41          28.36    27.19    32.65          80.69      0.4    08-08
CRWV   113.36     7.32     1.25          27.57       41          90.89    90.67   139.53         129.55        7    08-08
UPXI   120.35    21.63     0.73           2.11       41         165.34    175.2   334.42           6.04     8.44    08-08
FSLR    54.41     1.23     1.44          25.26       41          37.87    53.97    76.51         184.65    -0.51    08-08
KKR    32.95     0.01     1.12          12.56       41          29.32    28.97    55.35         142.67     0.34    08-08
RPD    49.82   -18.05     1.23          21.99       40          40.57    46.34    46.95          17.88    -9.81    08-08
USAR   128.82       -1     0.92          22.74       40         139.85   129.86   152.62          16.26     8.11    08-08
DECK    36.83    -1.36     0.67          17.05       40          54.68    46.66    66.42         101.68    -0.21    08-08
IBM    22.76     0.48     0.73          15.47       40          31.03    27.47    31.44         242.27    -3.15    08-08
BULL    96.28    -4.15     0.75          27.65       40         127.85   120.07                      15    -2.09    08-08
OUST    93.57   -27.23     0.92          46.52       40         102.15    96.64   101.37           25.8    11.69    08-08
C     26.5    -0.29     1.07          13.17       40          24.82    23.48    38.97          92.73     1.64    08-08
OSCR    73.91     1.53     0.94          22.28       39          78.54    92.93    91.13          15.46     1.98    08-08
SKYT     72.7    -1.77     0.51          15.22       39         142.15   122.75    94.29          14.08     9.57    08-08
AKAM    29.47   -20.35     1.04          22.24       39          28.25    25.31    40.11          70.53    -5.66    08-08
RIG    57.68    -4.08        1          13.17       39           57.6     55.8    79.65            3.1     5.08    08-08
ACHR     82.7    -0.05        1          38.54       39          82.78    75.66    93.18           9.72    -0.82    08-08
AEVA   108.29     2.22     0.97          45.21       39         111.91   135.47   134.29          13.18     6.16    08-08
NB   125.15    -9.06     0.87          25.49       38         144.59   144.14   127.97           4.74    11.79    08-08
EA    21.87     0.65     0.71           15.8       38          30.82    27.81    27.64         167.64        3    08-08
BCE    26.31     0.36     1.27          28.19       38          20.67    20.65     26.5          24.35      2.4    08-08
BMY    27.39     0.57      0.8          21.34       38          34.25    32.02     32.8          45.95      1.3    08-08
KMI    24.15     0.04     0.94          25.69       38          25.62    24.13    29.27          26.89     0.49    08-08
SOUN    90.14   -25.52     0.86          24.92       38         105.12    99.67    96.99          13.55     26.4    08-08
DHI    33.32      0.4     0.52          21.74       38          63.64    56.04    44.38          156.5      1.7    08-08
NVO    41.02    -0.37      0.4          31.31       38         101.79    85.02    64.24          51.08     4.76    08-08
WULF   106.73     0.65      1.7          12.11       37          62.78    73.58   104.51           5.03     1.82    08-08
LMT    21.48     0.97     0.51          28.35       37          42.23    35.57    31.29         425.63    -1.19    08-08
SBUX    26.74    -0.73     0.86          12.53       37          31.03    27.98    42.86          92.12     1.21    08-08
OWL    35.82     1.28     0.89          19.18       37          40.43    35.61    54.52          19.75     4.28    08-08
LLY    33.14    -3.13     0.53          22.49       37           62.7    52.86     53.1         625.65    -2.37    08-08
LZ       48   -26.93     0.48          29.24       37           99.4    82.52    68.74          10.98    31.18    08-08
U    66.37     2.14     0.92          20.98       36          71.81    65.96     73.1          33.25    -0.95    08-08
SPOT    38.15    -0.89     0.63          19.78       36          60.31    53.44    51.18         705.89     2.79    08-08
JPM    21.33    -1.24      1.3          10.28       36          16.38    18.38    29.97         288.76     0.63    08-08
DNN    68.28     6.46     1.31          43.56       36          52.08    50.39    64.11           2.12    -5.36    08-08
DASH    34.02     1.03     1.03           15.2       36          32.99    33.65     46.5         259.19    -4.35    08-08
ISRG    25.96    -0.55      1.3          17.21       36          19.99       20    37.73         470.08     0.06    08-08
NEM    32.25      0.3     0.77          15.36       36          42.15    40.88    43.64          68.98    -0.13    08-08
APA    41.68    -2.25     0.92          19.63       36          45.42    42.67    70.93          20.01     2.83    08-08
DLTR    41.66     0.87     2.52          25.47       36          16.53    18.94    45.73         116.12    -0.89    08-08
RUM    80.08      6.2     1.62          39.82       35          49.54    48.52    67.96           7.88    -2.11    08-08
TSSI   113.24    -0.13     0.84          41.83       35         135.36   124.23   153.18          20.15    -8.86    08-08
PG     16.4    -0.71     0.96          18.98       35          17.03    15.63    20.54         153.51     0.01    08-08
AGNC    20.47    -3.12     1.18           19.3       35          17.41    15.97    27.71           9.45     0.43    08-08
CROX    39.36    -3.17     0.32           13.2       35         124.53   104.95    78.15          75.24     1.14    08-08
ET     20.6     0.85     1.31          15.18       34          15.74    14.85    34.08          17.28    -1.93    08-08
DDOG     35.4     1.23      0.9          12.69       34          39.22    55.55    47.97         130.91    -4.01    08-08
FLR    39.69    -2.16     0.34          25.43       34         117.09    97.06    73.64          41.89    -5.08    08-08
CLS    57.41    -0.87     0.88          19.41       34          65.55    59.36    67.51         207.66     3.21    08-08
CTLP    55.49    -4.78     8.86          26.55       33           6.26     5.42    44.46           10.9    -1.62    08-08
NEE    26.62     0.21     0.97          16.05       33          27.45    30.06    33.43          72.41    -0.23    08-08
BSX    21.77     0.37     0.99          18.66       33          22.04    21.28    27.96         103.14     0.17    08-08
ETSY    40.41    -0.86      0.8           19.8       33          50.26    47.43    49.01          60.91     0.69    08-08
NN    81.27    -4.42     1.57          28.53       32          51.78    45.17       56          13.75    -1.82    08-08
NAGE    73.06    -9.69     1.16           22.9       32          63.13    63.77    69.61           9.73     1.25    08-08
SEZL    89.16   -59.83     0.55             22       32         161.17   144.75   131.07          91.51   -34.32    08-08
RTX    20.18     1.77     0.99          14.69       32          20.47    18.08    34.57         154.86    -0.58    08-08
AMD    42.75    -0.77     0.91          16.01       32          47.03    43.98    62.93         172.76     0.21    08-08
NEXT    58.26     0.87     1.54          15.02       32          37.93     57.6     72.3          10.34    -1.05    08-08
DAL    37.84     0.65     1.28          12.57       32          29.58    42.03    61.07          53.64     0.02    08-08
TTWO    24.71   -11.72     1.17          17.28       32          21.06    20.14    31.29         217.37    -4.03    08-08
BYON    90.63    -0.85     0.78          20.68       32         115.52   105.35   104.49           7.93    -3.88    08-08
EXPE    31.12   -22.17     1.05          11.09       31          29.65    30.24    48.65         195.26     4.08    08-08
RKT    52.57     -3.5     0.74          20.83       31          70.94     62.4    64.92          16.81    -4.22    08-08
GS    24.65     -1.4     1.36          10.89       31          18.17    19.49    37.23         721.27     0.21    08-08
CCJ    42.82     -1.7     1.46          17.71       31          29.41    32.53    46.21          76.92     0.72    08-08
SPCE    97.63     7.15     0.94          16.18       31         103.34    89.09   101.66            3.1    -9.36    08-08
ADM    24.85     0.17     0.87          14.28       30          28.47    28.14    31.88          57.84    -0.03    08-08
ABBV    21.11    -0.67     0.91          11.76       30          23.27    23.66    30.94         198.05    -0.41    08-08
ALAB    70.92    -1.78     0.61          18.86       30         115.55   104.21    90.08         179.28     4.91    08-08
ABCL    88.71   -14.71     0.98          18.61       30          90.07    86.11    82.37           4.25     0.24    08-08
BAC    23.05     -1.3     1.13           9.87       30          20.38    20.29    34.07          46.01     2.43    08-08
BTG    47.47    -3.76     1.18          12.25       30          40.26     38.6    45.86           3.58    -6.53    08-08
VALE    28.92     1.51     1.04           7.03       30          27.91    29.59     35.1          10.22      2.3    08-08
MNST     22.5   -10.06     0.72          36.78       30          31.11     29.4    25.07          64.69      6.4    08-08
RCAT   114.96     1.39     0.88          17.72       30         130.03    128.2   124.16           9.33             08-08
TOST    41.38     1.22     0.99           8.91       30          41.59    40.11    49.94          43.08    -5.55    08-08
UA    53.07   -13.86     0.73          27.75       29          72.42    62.77    66.23           5.19   -17.22    08-08
SYM    71.46     -0.2     0.72          16.85       29          99.09       91    88.98          55.61     2.58    08-08
ASTS    93.97    -3.68     1.37          23.24       29          68.54    64.25    81.35          46.63    -2.26    08-08
GRAB     43.2     1.22     1.06          18.96       29          40.73     41.4    55.03           4.88    -1.41    08-08
BX    29.25    -0.31        1          10.78       29           29.3    28.28    47.57         168.91     0.76    08-08
HIMX    50.59    -1.42     0.75          29.99       29          67.04    60.59    59.16           7.27     1.54    08-08
UNP    19.67    -0.55     0.78          11.64       29           25.1     22.4    27.96         222.24    -0.19    08-08
NVTS    91.42     1.14     0.73          20.93       29          125.7   109.16   204.91           6.66    -1.91    08-08
EXAS    46.58   -11.23     1.03          18.68       29          45.18    44.38     46.4          40.99    -5.03    08-08
MATV    59.26    -7.83     0.49          13.32       29          121.4   102.33    85.41           9.39    10.99    08-08
DIS    21.49    -0.32      1.1          10.12       28          19.49    18.08    39.47         112.43     -0.4    08-08
NFLX    26.05    -0.04     0.84           9.43       28          31.05     29.4    32.62        1211.64     2.65    08-08
HOOD    61.97    -0.42     1.31          22.02       28          47.34    57.54    70.28         114.63     3.06    08-08
GILD    23.45   -12.33     0.62          17.16       28          38.11    35.33    34.44         119.41     8.28    08-08
JD    41.76     0.14     1.37          19.92       28           30.4    28.13    39.44          31.49    -0.82    08-08
MGNI    49.92     3.26     1.23          10.56       28          40.56    53.51    73.88          22.47     3.31    08-08
VERI   132.14   -17.63     0.78           8.91       28         169.08   150.05   110.57           2.84    22.94    08-08
CMG     29.3     0.67     0.57           14.9       28          51.65    47.83     42.6          41.44    -2.93    08-08
AA    46.98     0.85     1.18          12.94       27          39.65    43.52    58.27          30.17     0.23    08-08
ANET    39.05     0.99     0.64          17.76       27          61.45    53.96    59.78         139.18    -0.07    08-08
NVDA    42.97    -1.14     1.61          25.61       27          26.68    25.71    49.13          182.7     1.07    08-08
MS    23.66    -1.83     1.32           9.68       27          17.86    16.65    36.09         143.18      1.6    08-08
RCL    34.02    -0.26      1.2          14.19       27           28.4    31.97    48.25         301.44    -2.69    08-08
